"provider","operation_id","operation","mechanism_family","mechanism","availability","authority","inputs_results","lifetime","outputs","host_distribution","compatibility","operations_fit","complexity_ledger","effect_mapping","verdict","confidence","evidence"
"esbuild","ESB-FORMAT-MESSAGES","format structured messages","embedded-engine","linked Go library; same Go process; direct Go calls; effect-build calls provider. Family: linked or vendored upstream compiler/runtime core","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: supported only through official Go API; vendoring internals beyond pkg/api is unsupported; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","Go module/build selects engine","Go-native values; does not preserve JS closure/context identity","Go-native calls and contexts","bytes/direct writes; operation invariant: caller-owned formatted string array","Go binary per platform","public Go API only","truthful embedded mechanism for pure/direct-write operations in Go applications","reasonable in Go, substantial for this JS package train","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","official for Go consumer; research-only for effect-build","high","esbuild pkg/api/api.go:715-729 and service.go @ 609683d"
"esbuild","ESB-FORMAT-MESSAGES","format structured messages","runtime-hosted-sidecar","framed request/result; owned Go or Node sidecar invoking public API; effect-build protocol, possibly bidirectional; effect-build calls provider. Family: provider-native public API behind an effect-build-owned framed protocol","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: hypothetical/bounded adapter; not upstream; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","effect-build selects/distributes sidecar engine image and protocol","serializable options/results; JS plugins need reverse callback RPC or provider-side module loading","one-shot or process session; context IDs require crash/stale-handle laws","bytes copied over transport or files in sidecar namespace; operation invariant: caller-owned formatted string array","new binaries/server per platform","owned schema/handshake plus esbuild version","can give host independence/fault ownership for pure serializable operations","protocol/platform packaging/callback/backpressure/session states added","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable with bounded adapter for pure calls but no current simplification","medium","esbuild pkg/api/api.go:715-729 and service.go @ 609683d"
"esbuild","ESB-FORMAT-MESSAGES","format structured messages","persistent-session","official JS service plus context handles, or owned session; shared native child for JS API; Go context for Go API; private service protocol behind public API; effect-build calls provider. Family: versioned daemon/service session with lifetime-bound handles","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: public contexts are supported; native service protocol is not; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","package-selected service; context owns build key while service is global","full semantics through public API; do not expose private handle IDs","cancel/dispose are per context; stop/crash is global and invalidates every context","structured/direct according to request; operation invariant: caller-owned formatted string array","normal esbuild package","exact internal handshake owned by upstream package","one-shot build calls do not expose a caller-owned session; do not wrap them in a new daemon or use global stop as a per-scope finalizer","reuses upstream session; effect-build only adds Scope law","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild pkg/api/api.go:715-729 and service.go @ 609683d"
"esbuild","ESB-FORMAT-MESSAGES","format structured messages","wasm-worker","browser JS API; Web Worker by default or same browser thread -> Go WASM service; postMessage/in-memory framed channel and WASM calls; effect-build calls provider. Family: supported WebAssembly, WASI, or provider worker boundary","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: documented public esbuild-wasm 0.28.2 browser API, MIT; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","caller selects exact wasmURL/module; no native selected binary","in-memory/virtual/plugin inputs and structured results; no native filesystem","worker initialized/stopped; public support excludes sync/context/watch/serve","in-memory bytes only; copies across worker/WASM; operation invariant: caller-owned formatted string array","WASM plus JS glue/browser worker; larger/slower than native","exact JS/WASM package version","browser-hosted transform/format/analyze/plugin semantics in the reduced domain","portable distribution but capability and copy/performance losses","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable in reduced domain; research-only for effect-build","high","esbuild pkg/api/api.go:715-729 and service.go @ 609683d"
"esbuild","ESB-FORMAT-MESSAGES","format structured messages","inverted-plugin","plugin callbacks registered with public JS/Go API; native engine reverse-calls host callback; upstream bidirectional service callbacks or direct Go calls; effect-build calls provider. Family: provider owns execution and calls effect-build-controlled hooks/modules","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: documented public plugin API; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","engine owns schedule; host owns plugin code/state","faithfully preserves closures, virtual modules, diagnostics and reentrancy in supported host","callbacks/build keys tied to build/context; cancellation waits on running host callbacks","plugins can alter graph/results/direct writes; operation invariant: caller-owned formatted string array","plugin code installed with host","public plugin API and host runtime","a callback is an adjunct to builds and contexts, not the caller surface for build, rebuild, cancel, dispose, watch, or serve","upstream already owns callback protocol; effect-build should not recreate it","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild pkg/api/api.go:715-729 and service.go @ 609683d"
"esbuild","ESB-FORMAT-MESSAGES","format structured messages","declarative-artifact","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: stable config, manifest, project, or intermediate artifact handoff","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: esbuild intentionally exposes CLI flags/API objects and no native stable project config/IR interchange; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned formatted string array","would require new native/source distribution","unsupported coupling","a JSON options file or stored argv does not change execution semantics and cannot contain callbacks","parallel schema/config version without capability gain","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild pkg/api/api.go:715-729 and service.go @ 609683d"
"esbuild","ESB-FORMAT-MESSAGES","format structured messages","isolated-worker","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: local/remote isolated worker used specifically for host or fault isolation","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: a Node worker/remote worker can wrap the JS package, but the compiler is already in a child and no current operation needs remote infrastructure; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned formatted string array","would require new native/source distribution","unsupported coupling","does not remove global service unless it becomes an owned sidecar and loses callbacks without code mobility","duplicate process/protocol/security/workspace states","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild pkg/api/api.go:715-729 and service.go @ 609683d"
"esbuild","ESB-FORMAT-MESSAGES","format structured messages","upstream-contribution","future supported service protocol/per-context service/cancel; upstream-defined; documented versioned protocol or additional public API; effect-build calls provider. Family: missing supported protocol/library/cancellation/event surface proposed upstream","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: hypothetical; current --service is hidden/internal; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would need explicit binary/service identity","should preserve structured values and callback policy","per-operation cancel and crash recovery without global stop would change costs","must retain direct/memory distinctions; operation invariant: caller-owned formatted string array","upstream-owned","documented protocol/version","would make an owned cross-host service much cheaper","upstream absorbs protocol maintenance","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","upstream-dependent","high","esbuild pkg/api/api.go:715-729 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","direct-host-api","official JavaScript functions and context handle; Node host plus one package-module-global native esbuild child per resolved module instance; sync calls use a worker-owned child; private framed bidirectional stdio hidden behind supported JS API; effect-build calls provider. Family: official function, callback, or scoped handle in the provider's supported host","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: documented public esbuild 0.28.2 JS API, MIT; service protocol is undocumented internal; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","the installed package normally resolves its matching optional platform binary, but ambient ESBUILD_BINARY_PATH can override that path; cwd/env are inherited","full structured results/options/virtual inputs and host plugin closures through reverse callbacks","one-shot operations through one module instance share its service; contexts expose rebuild/watch/serve/cancel/dispose; that module instance's global stop affects its consumers","in-memory bytes or provider-direct files; operation invariant: caller-owned analysis string","npm package plus platform binary or explicit ambient override; offline only when the selected bytes already exist","private first-packet exact-version check rejects version skew but does not content-bind an override; public compatibility is package API only","best TypeScript boundary for structured/plugin/context operations","low adapter cost but ambient override authority, package-module-global crash/stop, and one-shot cancellation need explicit treatment","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable now","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","selected-command","command; selected native esbuild child; argv/stdin/stdout/stderr/filesystem; effect-build calls provider. Family: one-shot or scoped provider command with native argv/project/process semantics","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: documented public esbuild 0.28.2 CLI, MIT; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","caller selects exact executable/cwd/env/flags","native CLI options/project streams; no JS/Go plugin closures or structured API handles/results","one-shot or raw process-owned watch/serve; kill is the process boundary","stdout/direct files; operation invariant: caller-owned analysis string","single native platform binary","version/capability probe; terminal prose is not typed protocol","structured transform/code-map-warning results, formatMessages, analyzeMetafile, plugins, virtual callbacks, reusable contexts, typed watch events, and structured ServeResult","simple and well isolated","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","official-language-library","official Go pkg/api functions and BuildContext; compiler linked directly in caller Go process; direct Go calls/callbacks; effect-build calls provider. Family: official Go or Rust library API outside the TypeScript host","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: documented public official Go API at 0.28.2, MIT; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","Go module selects exact engine; caller owns options/filesystem/network","Go-native options/results/plugins/contexts; serializable pure/direct-write operations retain provider semantics, while JS closures and JS context identity do not","Go contexts expose rebuild/watch/serve/cancel/dispose but are not JS context handles","Go byte slices or provider-direct files; operation invariant: caller-owned analysis string","requires Go application/toolchain build per target; no child binary at runtime","Go module SemVer/API","exact provider semantics for pure serializable calls/direct writes in a Go consumer","low in Go; high if effect-build owns cross-language bridge","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable now in Go; bounded adapter only for TypeScript","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","native-bridge","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: supported or owned C/C++/N-API/FFI bridge","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: no supported esbuild C/C++/N-API/FFI ABI found at 0.28.2 after official docs/pkg/lib/cmd/manifests search; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned analysis string","would require new native/source distribution","unsupported coupling","an owned bridge would wrap Go internals rather than an upstream ABI","per-platform ABI/build/signing and callback marshalling","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","embedded-engine","linked Go library; same Go process; direct Go calls; effect-build calls provider. Family: linked or vendored upstream compiler/runtime core","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: supported only through official Go API; vendoring internals beyond pkg/api is unsupported; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","Go module/build selects engine","Go-native values; does not preserve JS closure/context identity","Go-native calls and contexts","bytes/direct writes; operation invariant: caller-owned analysis string","Go binary per platform","public Go API only","truthful embedded mechanism for pure/direct-write operations in Go applications","reasonable in Go, substantial for this JS package train","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","official for Go consumer; research-only for effect-build","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","runtime-hosted-sidecar","framed request/result; owned Go or Node sidecar invoking public API; effect-build protocol, possibly bidirectional; effect-build calls provider. Family: provider-native public API behind an effect-build-owned framed protocol","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: hypothetical/bounded adapter; not upstream; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","effect-build selects/distributes sidecar engine image and protocol","serializable options/results; JS plugins need reverse callback RPC or provider-side module loading","one-shot or process session; context IDs require crash/stale-handle laws","bytes copied over transport or files in sidecar namespace; operation invariant: caller-owned analysis string","new binaries/server per platform","owned schema/handshake plus esbuild version","can give host independence/fault ownership for pure serializable operations","protocol/platform packaging/callback/backpressure/session states added","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable with bounded adapter for pure calls but no current simplification","medium","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","persistent-session","official JS service plus context handles, or owned session; shared native child for JS API; Go context for Go API; private service protocol behind public API; effect-build calls provider. Family: versioned daemon/service session with lifetime-bound handles","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: public contexts are supported; native service protocol is not; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","package-selected service; context owns build key while service is global","full semantics through public API; do not expose private handle IDs","cancel/dispose are per context; stop/crash is global and invalidates every context","structured/direct according to request; operation invariant: caller-owned analysis string","normal esbuild package","exact internal handshake owned by upstream package","one-shot build calls do not expose a caller-owned session; do not wrap them in a new daemon or use global stop as a per-scope finalizer","reuses upstream session; effect-build only adds Scope law","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","wasm-worker","browser JS API; Web Worker by default or same browser thread -> Go WASM service; postMessage/in-memory framed channel and WASM calls; effect-build calls provider. Family: supported WebAssembly, WASI, or provider worker boundary","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: documented public esbuild-wasm 0.28.2 browser API, MIT; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","caller selects exact wasmURL/module; no native selected binary","in-memory/virtual/plugin inputs and structured results; no native filesystem","worker initialized/stopped; public support excludes sync/context/watch/serve","in-memory bytes only; copies across worker/WASM; operation invariant: caller-owned analysis string","WASM plus JS glue/browser worker; larger/slower than native","exact JS/WASM package version","browser-hosted transform/format/analyze/plugin semantics in the reduced domain","portable distribution but capability and copy/performance losses","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable in reduced domain; research-only for effect-build","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","inverted-plugin","plugin callbacks registered with public JS/Go API; native engine reverse-calls host callback; upstream bidirectional service callbacks or direct Go calls; effect-build calls provider. Family: provider owns execution and calls effect-build-controlled hooks/modules","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: documented public plugin API; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","engine owns schedule; host owns plugin code/state","faithfully preserves closures, virtual modules, diagnostics and reentrancy in supported host","callbacks/build keys tied to build/context; cancellation waits on running host callbacks","plugins can alter graph/results/direct writes; operation invariant: caller-owned analysis string","plugin code installed with host","public plugin API and host runtime","a callback is an adjunct to builds and contexts, not the caller surface for build, rebuild, cancel, dispose, watch, or serve","upstream already owns callback protocol; effect-build should not recreate it","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","declarative-artifact","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: stable config, manifest, project, or intermediate artifact handoff","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: esbuild intentionally exposes CLI flags/API objects and no native stable project config/IR interchange; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned analysis string","would require new native/source distribution","unsupported coupling","a JSON options file or stored argv does not change execution semantics and cannot contain callbacks","parallel schema/config version without capability gain","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","isolated-worker","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: local/remote isolated worker used specifically for host or fault isolation","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: a Node worker/remote worker can wrap the JS package, but the compiler is already in a child and no current operation needs remote infrastructure; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven; operation invariant: caller-owned analysis string","would require new native/source distribution","unsupported coupling","does not remove global service unless it becomes an owned sidecar and loses callbacks without code mobility","duplicate process/protocol/security/workspace states","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-ANALYZE-METAFILE","analyze a metafile","upstream-contribution","future supported service protocol/per-context service/cancel; upstream-defined; documented versioned protocol or additional public API; effect-build calls provider. Family: missing supported protocol/library/cancellation/event surface proposed upstream","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: hypothetical; current --service is hidden/internal; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would need explicit binary/service identity","should preserve structured values and callback policy","per-operation cancel and crash recovery without global stop would change costs","must retain direct/memory distinctions; operation invariant: caller-owned analysis string","upstream-owned","documented protocol/version","would make an owned cross-host service much cheaper","upstream absorbs protocol maintenance","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","upstream-dependent","high","esbuild pkg/api/api.go:731-746 and service.go @ 609683d"
"esbuild","ESB-BUILD-MEMORY","build with structured in-memory outputs","direct-host-api","official JavaScript functions and context handle; Node host plus one package-module-global native esbuild child per resolved module instance; sync calls use a worker-owned child; private framed bidirectional stdio hidden behind supported JS API; effect-build calls provider. Family: official function, callback, or scoped handle in the provider's supported host","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: documented public esbuild 0.28.2 JS API, MIT; service protocol is undocumented internal; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","the installed package normally resolves its matching optional platform binary, but ambient ESBUILD_BINARY_PATH can override that path; cwd/env are inherited","full structured results/options/virtual inputs and host plugin closures through reverse callbacks","one-shot operations through one module instance share its service; contexts expose rebuild/watch/serve/cancel/dispose; that module instance's global stop affects its consumers","in-memory bytes or provider-direct files","npm package plus platform binary or explicit ambient override; offline only when the selected bytes already exist","private first-packet exact-version check rejects version skew but does not content-bind an override; public compatibility is package API only","best TypeScript boundary for structured/plugin/context operations","low adapter cost but ambient override authority, package-module-global crash/stop, and one-shot cancellation need explicit treatment","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable now","high","esbuild API docs; common.ts protocol; SURFACE.json"
"esbuild","ESB-BUILD-MEMORY","build with structured in-memory outputs","selected-command","command; selected native esbuild child; argv/stdin/stdout/stderr/filesystem; effect-build calls provider. Family: one-shot or scoped provider command with native argv/project/process semantics","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: documented public esbuild 0.28.2 CLI, MIT; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","caller selects exact executable/cwd/env/flags","native CLI options/project streams; no JS/Go plugin closures or structured API handles/results","one-shot or raw process-owned watch/serve; kill is the process boundary","stdout/direct files","single native platform binary","version/capability probe; terminal prose is not typed protocol","structured transform/code-map-warning results, formatMessages, analyzeMetafile, plugins, virtual callbacks, reusable contexts, typed watch events, and structured ServeResult","simple and well isolated","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild API docs; common.ts protocol; SURFACE.json"
"esbuild","ESB-BUILD-MEMORY","build with structured in-memory outputs","official-language-library","official Go pkg/api functions and BuildContext; compiler linked directly in caller Go process; direct Go calls/callbacks; effect-build calls provider. Family: official Go or Rust library API outside the TypeScript host","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: documented public official Go API at 0.28.2, MIT; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","Go module selects exact engine; caller owns options/filesystem/network","Go-native options/results/plugins/contexts; serializable pure/direct-write operations retain provider semantics, while JS closures and JS context identity do not","Go contexts expose rebuild/watch/serve/cancel/dispose but are not JS context handles","Go byte slices or provider-direct files","requires Go application/toolchain build per target; no child binary at runtime","Go module SemVer/API","does not preserve frozen JS BuildOptions/BuildResult plugin closures or JS context handles; a TypeScript caller needs a separately evaluated bridge/sidecar","low in Go; high if effect-build owns cross-language bridge","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild API docs; common.ts protocol; SURFACE.json"
"esbuild","ESB-BUILD-MEMORY","build with structured in-memory outputs","native-bridge","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: supported or owned C/C++/N-API/FFI bridge","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: no supported esbuild C/C++/N-API/FFI ABI found at 0.28.2 after official docs/pkg/lib/cmd/manifests search; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven","unproven","would require new native/source distribution","unsupported coupling","an owned bridge would wrap Go internals rather than an upstream ABI","per-platform ABI/build/signing and callback marshalling","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild API docs; common.ts protocol; SURFACE.json"
"esbuild","ESB-BUILD-MEMORY","build with structured in-memory outputs","embedded-engine","linked Go library; same Go process; direct Go calls; effect-build calls provider. Family: linked or vendored upstream compiler/runtime core","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: supported only through official Go API; vendoring internals beyond pkg/api is unsupported; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","Go module/build selects engine","Go-native values; does not preserve JS closure/context identity","Go-native calls and contexts","bytes/direct writes","Go binary per platform","public Go API only","frozen JS build/plugin/context operations are not directly callable from TypeScript without another bridge","reasonable in Go, substantial for this JS package train","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","esbuild API docs; common.ts protocol; SURFACE.json"
"esbuild","ESB-BUILD-MEMORY","build with structured in-memory outputs","runtime-hosted-sidecar","framed request/result; owned Go or Node sidecar invoking public API; effect-build protocol, possibly bidirectional; effect-build calls provider. Family: provider-native public API behind an effect-build-owned framed protocol","provider pin/license: esbuild 0.28.2 @ 609683d892977362a0f99026cb74b96263d728a9; MIT; evidence class/support promise: hypothetical/bounded adapter; not upstream; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","effect-build selects/distributes sidecar engine image and protocol","serializable options/results; JS plugins need reverse callback RPC or provider-side module loading","one-shot or process session; context IDs require crash/stale-handle laws","bytes copied over transport or files in sidecar namespace","new binaries/server per platform","owned schema/handshake plus esbuild version","cannot preserve the frozen full BuildOptions/BuildResult plugin surface without an unproven callback protocol; duplicates the official JS package service","protocol/platform packaging/callback/backpressure/session states added","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","medium","esbuild API docs; common.ts protocol; SURFACE.json"
